"id","title","external_tags","targets"
ckj7uvu7u2727782ys65s00ehpc,JWT & Spring Security,"[""spring"", ""스프링""]","{서버 / 백엔드,Java,웹}"
ckgbycyg13467310phhpq24in0,그 때 성장이라고 생각했던 것들,[],"{개발 일반,비전공자 & 신입,커리어,동기부여}"
ckg94zc3h5515510o3pc7vo7rl,신입개발자와 일하는 법,"[{""name"": {""name"": ""개발 일반""}}, {""name"": {""name"": ""개발 문화/철학/방법론""}}]","{기업 / 스타트업,개발 일반}"
ckn8mkt3c0925vqqym8f1h98m,"Reactive Web - Servlet & Async, Non-blocking I/O",,{웹}
ckklve1oz1808521smgiia53r7a,타입스크립트 기초 연습,"[""typescript"", ""타입스크립트""]","{TypeScript,JavaScript,서버 / 백엔드,React}"
ckn8npw4b09799nqyl4xxfbeq,A Picture of Java in 2020 – IntelliJ IDEA Blog | JetBrains,[],{Java}
ckncsitlx2299802emmuupxcblk,Presto를 이용하여 Google Sheets와 mysql 등 DB 데이터 JOIN 하기 | Popit,"[""소프트웨어"", ""데이터분석"", ""Presto"", ""SQL"", ""구글시트""]","{데이터베이스,툴 / 생산성}"
ckghs38ex2107410qn1ymrk0gp, Vim에 매료되다. (Feat.Happy Hacking),[],{툴 / 생산성}
ckg97uw6j149710nz57rfn4fy,자바스크립트 Promise 쉽게 이해하기,"[{""name"": {""name"": ""프론트엔드""}}, {""name"": {""name"": ""Javascript 관련""}}]",{JavaScript}
ckj16q44x19762ys6cdwkakr1,"TensorFlow 2.0과 Cloud AI를 사용하여 확장 가능한 머신러닝 모델 손쉽게 훈련, 배포 및 관리하기",[],"{머신러닝,클라우드}"
ckh4ixr2n960620yqoogjqxhat,Redux-Saga: 제너레이터와 이펙트 : TOAST Meetup,,"{JavaScript,웹 프론트엔드}"
ckgk49n5o1360510qmwoseghf4,"1원칙. 다이렉트하게 만들어라","[""UX"", ""디자인"", ""UI""]",{UI/UX}
ckmu0qpm94225652dpmmoncc5aq,새로워진 Android Kotlin 코드랩 과정을 만나보세요!,[],"{Kotlin,안드로이드}"
ckn8ocarf172989nqyv75wbi7n,어린이에게 더 안전한 Google Play 만들기,[],"{보안,안드로이드}"
ckn8oc3kt171729nqyzxi1gvju,Google I/O 2019: 개발자 여러분들이 Android + Play에서 최상의 경험을 만들도록 지원합니다,[],"{커리어,Kotlin,안드로이드}"
ckg7lym5z2229910p62r61uifg,네이버페이 JavaScript SDK 개발기,"[""javascript"", ""webpack"", ""네이버페이""]","{개발 일반,JavaScript,IT 이야기}"
ckg7rit3g4172710p6xsbgi6kz,Spock으로 테스트하기,"[""JAVA"", ""테스트"", ""spock"", ""groovy""]","{Java,테스팅}"
ckjtapnyc478331ho5x98mydwv,"정식 언어로 채택된 Kotlin, Android에 미친 영향은?",[],"{모바일,Kotlin,안드로이드}"
ckn8nrm0q30679nqy2acch56t,Acing the JavaScript Interview: top questions explained,"[{""name"": {""name"": ""프론트엔드""}}, {""name"": {""name"": ""Javascript 관련""}}]","{비전공자 & 신입,커리어,JavaScript}"
